DEBUG: x=0.233549, struve=0.053853
DEBUG: x=0.234004, struve=0.054062
DEBUG: x=0.234458, struve=0.054271
DEBUG: x=0.234912, struve=0.054481
DEBUG: x=0.235367, struve=0.054691
DEBUG: x=0.235821, struve=0.054902
DEBUG: x=0.236275, struve=0.055113
DEBUG: x=0.236730, struve=0.055324
DEBUG: x=0.237184, struve=0.055536
DEBUG: x=0.237639, struve=0.055748
DEBUG: x=0.238093, struve=0.055961
DEBUG: x=0.238547, struve=0.056174
DEBUG: x=0.239002, struve=0.056387
DEBUG: x=0.239456, struve=0.056601
DEBUG: x=0.239910, struve=0.056815
DEBUG: x=0.240365, struve=0.057030
DEBUG: x=0.240819, struve=0.057245
DEBUG: x=0.241274, struve=0.057460
DEBUG: x=0.241728, struve=0.057676
DEBUG: x=0.242182, struve=0.057892
DEBUG: x=0.242637, struve=0.058109
DEBUG: x=0.243091, struve=0.058326
DEBUG: x=0.243545, struve=0.058543
DEBUG: x=0.244000, struve=0.058761
DEBUG: x=0.244454, struve=0.058979
DEBUG: x=0.244909, struve=0.059198
DEBUG: x=0.245363, struve=0.059417
DEBUG: x=0.245817, struve=0.059636
DEBUG: x=0.246272, struve=0.059856
DEBUG: x=0.246726, struve=0.060076
DEBUG: x=0.247180, struve=0.060297
DEBUG: x=0.247635, struve=0.060518
DEBUG: x=0.248089, struve=0.060739
DEBUG: x=0.248544, struve=0.060961
DEBUG: x=0.248998, struve=0.061183
DEBUG: x=0.249452, struve=0.061405
DEBUG: x=0.249907, struve=0.061628
DEBUG: x=0.250361, struve=0.061852
DEBUG: x=0.250815, struve=0.062076
DEBUG: x=0.251270, struve=0.062300
DEBUG: x=0.251724, struve=0.062524
DEBUG: x=0.252179, struve=0.062749
DEBUG: x=0.252633, struve=0.062975
DEBUG: x=0.253087, struve=0.063200
DEBUG: x=0.253542, struve=0.063427
DEBUG: x=0.253996, struve=0.063653
DEBUG: x=0.254450, struve=0.063880
DEBUG: x=0.254905, struve=0.064107
DEBUG: x=0.255359, struve=0.064335
DEBUG: x=0.255814, struve=0.064563
DEBUG: x=0.256268, struve=0.064792
DEBUG: x=0.256722, struve=0.065021
DEBUG: x=0.257177, struve=0.065250
DEBUG: x=0.257631, struve=0.065480
DEBUG: x=0.258085, struve=0.065710
DEBUG: x=0.258540, struve=0.065941
DEBUG: x=0.258994, struve=0.066172
DEBUG: x=0.259449, struve=0.066403
DEBUG: x=0.259903, struve=0.066635
DEBUG: x=0.260357, struve=0.066867
DEBUG: x=0.260812, struve=0.067099
DEBUG: x=0.261266, struve=0.067332
DEBUG: x=0.261720, struve=0.067566
DEBUG: x=0.262175, struve=0.067799
DEBUG: x=0.262629, struve=0.068033
DEBUG: x=0.263084, struve=0.068268
DEBUG: x=0.263538, struve=0.068503
DEBUG: x=0.263992, struve=0.068738
DEBUG: x=0.264447, struve=0.068974
DEBUG: x=0.264901, struve=0.069210
DEBUG: x=0.265355, struve=0.069447
DEBUG: x=0.265810, struve=0.069683
DEBUG: x=0.266264, struve=0.069921
DEBUG: x=0.266719, struve=0.070158
DEBUG: x=0.267173, struve=0.070397
DEBUG: x=0.267627, struve=0.070635
DEBUG: x=0.268082, struve=0.070874
DEBUG: x=0.268536, struve=0.071113
DEBUG: x=0.268990, struve=0.071353
DEBUG: x=0.269445, struve=0.071593
DEBUG: x=0.269899, struve=0.071834
DEBUG: x=0.270354, struve=0.072074
DEBUG: x=0.270808, struve=0.072316
DEBUG: x=0.271262, struve=0.072557
DEBUG: x=0.271717, struve=0.072799
DEBUG: x=0.272171, struve=0.073042
DEBUG: x=0.272626, struve=0.073285
DEBUG: x=0.273080, struve=0.073528
DEBUG: x=0.273534, struve=0.073772
DEBUG: x=0.273989, struve=0.074016
DEBUG: x=0.274443, struve=0.074260
DEBUG: x=0.274897, struve=0.074505
DEBUG: x=0.275352, struve=0.074750
DEBUG: x=0.275806, struve=0.074996
DEBUG: x=0.276261, struve=0.075242
DEBUG: x=0.276715, struve=0.075489
DEBUG: x=0.277169, struve=0.075735
DEBUG: x=0.277624, struve=0.075983
DEBUG: x=0.278078, struve=0.076230
DEBUG: x=0.278532, struve=0.076478
DEBUG: x=0.278987, struve=0.076727
DEBUG: x=0.279441, struve=0.076976
DEBUG: x=0.279896, struve=0.077225
DEBUG: x=0.280350, struve=0.077474
DEBUG: x=0.280804, struve=0.077724
DEBUG: x=0.281259, struve=0.077975
DEBUG: x=0.281713, struve=0.078226
DEBUG: x=0.282167, struve=0.078477
DEBUG: x=0.282622, struve=0.078728
DEBUG: x=0.283076, struve=0.078980
DEBUG: x=0.283531, struve=0.079233
DEBUG: x=0.283985, struve=0.079486
DEBUG: x=0.284439, struve=0.079739
DEBUG: x=0.284894, struve=0.079992
DEBUG: x=0.285348, struve=0.080246
DEBUG: x=0.285802, struve=0.080501
DEBUG: x=0.286257, struve=0.080755
DEBUG: x=0.286711, struve=0.081011
DEBUG: x=0.287166, struve=0.081266
DEBUG: x=0.287620, struve=0.081522
